day_of,num_users_day
2016-08-19,1
2016-08-20,5
2016-08-21,28
2016-08-22,74
2016-09-01,183
2016-08-24,133
2016-09-06,138
2016-09-01,57
2016-09-25,45
2016-08-28,61
2016-09-01,124
2016-09-13,163
2016-10-02,179
2016-09-01,163
2016-09-08,107
2016-09-08,65
2016-09-06,111
2016-09-08,195
2016-09-26,263
2016-09-29,281
2016-09-25,313
2016-10-03,234
2016-09-19,149
2016-09-26,231
2016-09-11,206
2016-09-20,167
2016-09-20,115
2016-09-29,136
2016-09-27,125
2016-09-17,43
2016-09-20,99
2016-09-26,222
2016-10-03,221
2016-09-26,180
2016-10-05,131
2016-09-27,147
2016-09-25,153
2016-09-29,299
2016-09-29,386
2016-10-03,306
2016-09-29,205
2016-10-04,135
2016-10-04,94
2016-09-30,122
2016-10-03,223
2016-10-04,276
2016-10-04,221
2016-10-04,85
